Tweets,Sentiment
" '@IMinakshiJoshi हिंदुओं के #महाकुंभ और #बीजेपी की चुनावी रैलियों पर ज्ञान देने वाले दलाल ""पत्रकार"" और  ""नेता"" इस लखनऊ की #मस्जिद की वीडियो पर क्यों चुप हैं यहां यहां से कोरोना_वायरस नहीं पहले गा❓😡\n\n#BanRamzanGatherings https://t.co/PqPiJ9wmfQ',",positive
" '@narendramodi जी महोदय,\nगाली गलौज से कुछ होता नहीं। आपने कहा ही था कि राजनीतिक लोगों की चमड़ी बहुत मोटी होती है।इसलिए जिसको जितना गाली देना है दें....सिर्फ वोट के समय बंगाल की जनता #बीजेपी को ही वोट दे।',",positive
" 'बीजेपी सरकार जाएगी\nवजह कोरोना\nदेश को नफरत हो गई है\nवजह जिद\nलिख लो\n#कोरोना #बीजेपी #coronavirus @BJP4Bengal @RahulGandhi @INCIndia @BJP4India #चुनाव',",positive
" '#बीजेपी प्रदेश अध्यक्ष #संजय जायसवाल ने कोरोना संकट पर हुई सर्वदलीय बैठक में ये सारी बातें कहीं....\n#बिहार_न्यूज #Bihar_news #BJP #Sanjay_Jaysawal #All_Party_Meeting \nhttps://t.co/k5cLoMri3h',",positive
" 'कुछ लोग तो #बीजेपी के पीछे ऐसे पड़े है\nजैसे बीजेपी ने इनकी वसीयत लिखवा ली हो\n🤣🤣',",positive
" 'अरे #बीजेपी\nओ #बीजेपी\nदेश मे #कोरोना भयावह_रूप ले चुका है आपको रेलिया और दूसरों पे तंज करने मे मजा आ रहा है। थोड़ा टाइम #हॉस्पिटल और बीते साल पे जोर देते तो देश मे आज #हाहाकार न होता।\n#Shame_On_BJP\n#Shame_On_PM\n#Covid #pandemic https://t.co/a82jDffTj0',",negative
" 'वादा राम मंदिर का था अस्पताल और वेंटिलेटर का नही माँग कर \n\nसर्मिन्दा ना करे \n\n           लेकिन चाहिए था दोनो मिला एक ही \n             वाह वाह #बीजेपी सरकार',",positive
" '@yadavakhilesh अच्छा हुआ आपने #बीजेपी वाली वैक्सीन लगवा ली',",positive
" 'सीता मैया भी परेशान है,,\n#बीजेपी के काम से,,\n\nकमीने सारे पैसे खा गए,,\nउनके पती के नाम से..\n\n😂😂😂\n\n#चेक_बाऊन्स',",positive
" 'सरकार अपनी नाकामी छिपाने के लिए गलत बता रही कोरोना से मरने वालो की संख्या \nसिर्फ जबलपुर जिले में हे प्रति दिन 20 se 30 मौते ऑक्सीजन की कमी और टाइम पे उपचार न मिलने की वजह से हो रही है ल\n#जिम्मेदार कौन #बीजेपी के मंत्री गायब है #शिवराज सिंह जी दमोह में चुनाव में बिजी है 👎',",negative
" '#बीजेपी ने ममता बनर्जी और कूचबिहार के सीतलकूची से TMC कैंडिडेट पार्थ प्रतिम के साथ बातचीत की कॉल रिकॉर्डिंग जारी की\nइसमे ममता कह रही है?\nडेडबॉडी रखे रहो, कल डेडबॉडी के साथ रैली करूंगी सभी CRPF को गिरफ्तार करवा दूंगी? परिवार से कहो, कोई आज डेडबॉडी न ले?\n@narendramodi \n@BJP4India https://t.co/QJi0Bl7PIk',",positive
" '#बीजेपी वालों ने तो #आपदा को भी #रोजगार बना लिया। \n#COVID19India https://t.co/NiXjUqgOMa',",positive
" '#बीजेपी को मैं पसंद करता था लेकिन अब दूर-दूर तक कोई भी अंधों में काना राजा भी नजर नही आ रहा।\n\nबजह-आजकल देश के हालात, फिर भी मनमानी हो रही है। \n@yadavakhilesh @BJP4UP @aajtak @ShamsTahirKhan @RajatSharmaLive \n\n#बीजेपी',",positive
" '#SocialDistancing के साथ होगी #PMModi की रैली, #आसनसोन में #बीजेपी तैयारियों में जुटी\n#WestBengalElection2021 #WestBengalAssemblyElection2021 \nhttps://t.co/t8tCXjiGpp',",positive
" '@DrKumarVishwas आज शाम के समय #दमोह_विधानसभा क्षेत्र में एक #बीजेपी मंत्री की गाडी में #करोडों रुपए रखे दिखे। स्थानीय लोगों के साथ अन्य पार्टियों के लोगों ने गाडी के पास आकर हो- हल्ला किया। #पुलिस आई और पुलिस के संरक्षण में गाडी को ड्रायवर लेकर चला गया।',",negative
" 'पापियों अपने पाप धो लो अस्पताल नहीं बनाएं चलो इस कार्यालय में ही आइसोलेशन बेड बना दो कम से कम लोगों की जान बच सके\nचलो अपने अंध भक्तों को ही सुविधा दे दो\n@BJP4UP\n#BJPHataoDeshBachao  #बीजेपी \n#बेशर्म https://t.co/S3WwYwNpT1',",negative
" '#बीजेपी शासित #बिहार_सरकार को 8000 से ज्यादा ट्वीट किया, कई ईमेल भेजा, राष्ट्रपती कार्यलय से पत्र भेजा गया, मानवाधिकार आयोग द्वारा नोटिस जारी किया गया,\n\nइतना सब कुछ होने के बाद भी हमे न्याय नही दिया गया।\n\nन्याय मांगने पर @darbhanga_dm ब्लॉक न्याय दीजिये https://t.co/zDyzO7FEKF',",negative
" 'ये.....ले...\nबेचारे #सुजे_मूंहवाले पर धरम-संकट आया...\nअब #बीजेपी मेइड वैक्सीन लेनी....\nया फिर  जान ही चली जाए तो जाने देनी...???\nदेखना,  बंदा वैक्सीन तो नही ही लगवाएगा...\n😜🤪😝🤑😛🤑😝🤪😜 https://t.co/7tDvaIsySN',",positive
" '#halp\nइस वीडियो को सुन कर ये बातये की ये नारे\nकपिल सोम जिंदाबाद के है\nया पाकिस्तान जी जिंदाबाद के ये #मुज़फ्फरनगर में वायरल हो रही है जिसको लेकर असमजय की स्थिति है\n#बीजेपी \n#UPPolice \n#chunavayog https://t.co/ZjL9XpNFoQ',",positive
" '#भोपाल-विश्राम घाटों की व्यवस्था को बेहतर करने में जुटे #बीजेपी प्रदेश उपाध्यक्ष और भोपाल पूर्व महापौर #आलोक_शर्मा।\n\n#VindhyaToday https://t.co/OeK0MxVQei',",positive
" 'कल होने वाली #सर्वदलीय बैठक में #आरजेडी, #कांग्रेस, #बीजेपी और #जेडीयू से ये-ये नेता लेंगे भाग, नाम का हो गया खुलासा....\n#बिहार_न्यूज #Bihar_News #All_party_Meeting #corona\nhttps://t.co/6thTlwDIDK',",positive
" 'राजस्थान के किसानों को दोहरी लडाई लडनी हैं\nव बदला लेना हे इन उप चुनाव में एक तो केन्द्र की #बीजेपी सरकार के काले कनुनो का दुसरा #कोंग्रेस की गटीया राज्य सरकार जीसने छल कीया किसान कर्ज माफी का ओर जीती थी अब दोनों को किसानों को हराना होगा\n@hanumanbeniwal \n#राजस्थान_मांगे_रालोपा https://t.co/InkXeGhXiU',",positive
" '@khanumarfa प्रामिस गया तेल लेने तू #मंदिर\nकी जगह दूसरे की बात कर रही\nहै पर अभी तो एक #मंदिर लिया\nहै जब तक सारे #मंदिरों से आतंकी\nअतिक्रमण नहीं हटता तब #हिंदू\nका वोट #बीजेपी को ही रहेगा',",positive
" '#बीजेपी उम्मीदवार की गुंडा गर्दी अपना  दल एस प्रत्याशी के पोस्टर पर अपने पोस्टर चिपकवाए।\nयह वीडियो वायरल हो रहा हैं\n@AdminLKO\n@tripsashu\n@Singharayana\n#लखनऊ_गोसाईगंज https://t.co/Rk7uzyVU5X',",positive
" 'जिसके ऊपर #बीजेपी अय्याशी काट रही है वो किया हिन्दुस्तान ने 70 सालों में। जहां पर इलाज करा रहे हो वो हुआ 70 सालों में।\n@IPSinghSp @MAHENDRA_SANDIA @ta20khan @DrJahangeerPhD @Aashif_001 @Bitthal_Sharma https://t.co/xl5of2HFAO',",negative
" '#हिंदुत्व को सपोर्ट करने का मतलब यह नहीं है कि मैं #बीजेपी सपोर्टर या #कांग्रेस विरोधी\n\n #धर्मों_रक्षति_रक्षितः\n#जय_श्रीराम',",positive
" 'ये हालत कर दिए साहेब से \nपहले जिन्दे में लाइन लगवाई\nऔर मरने के बाद साला थू।\nहत्यारों की सरकार है ये #बीजेपी \nठीक कहा आपने @bkmjsm भाई\n\n""धधकती चिताओं"" का देश।\n\nऊपर वाला इनकी आत्मा को अपने श्रीचरणों में जगह दे।😢😢 https://t.co/N2obZcAT1x',",positive
" 'जिस प्रकार #कोरोना से बचने के लिए दो गज दूरी और मास्क है जरूरी उसी तरह #बीजेपी वायरस से बचने के लिए कमल छाप से दूरी और बीजेपी का बहिस्कार है जरुरी। \n#कोविड_19 #NoVoteToBJP',",negative
" 'देश मे शौचालय की जगह हॉस्पिटल बनाये होते तो आज लाखो लोगो के काम आता,आज सभी मंदिर मस्जिद बंद है,केवल हॉस्पिटल खुले है, #कांग्रेस ने 70 साल में AIIMS जैसे हॉस्पिटल निमार्ण करे,ये अनुभव था,#बीजेपी ने शौचालय ये नोटंकी #विफल_मोदी_सरकार @IYC @INCIndiaLive',",positive
" 'पश्चिम बंगाल विधानसभा चुनाव में खुनी संघर्ष ममता बनर्जी को कमजोर करते जा रहा है. #बीजेपी का जीत की ओर बढ़ता कदम. @BJP4Bihar @JPNadda',",positive
" '@AmarAzadLJP @BJP4India @narendramodi #बीजेपी की तरफ से #चिराग_पासवान को मुख्यमंत्री का दावेदारी मिलते हीं सब भूल जाओगे #अमर_आजाद भाई पर मैं नहीं भूल सकते। #DalitLivesMatter @iChiragPaswan',",positive
" '#बीजेपी लखनऊ महानगर के पूर्व अध्यक्ष मनोहर सिंह के पुत्र #संतोष कुमार सिंह और उनका पूरा परिवार होम आइसोलेशन में है। \nCM हेल्पलाइन पर जब उन्होंने शिकायत की कि मुझे कोई जानकारी नहीं मिली है तब जवाब यह मिला ‘जाकर मर जाओ’। @cp4ydv @umeshyadav841 @ultachasmauc @yadavakhilesh @anjuydv https://t.co/t8wCIjBfoX',",positive
" '@ndtvindia मैं तो यह कह रहा हूं #बीजेपी चुनाव ही क्यों करा रही है\nऐसे चुनाव आयोग से कह दे वो जिता देंगे मोदी जी को',",positive
" 'कौन कहता है #बीजेपी और #कांग्रेस दोनों एक नहीं है, ये वही #कांग्रेस है, जिसने #किसान_आंदोलन का समर्थन किया था,\nऔर अब अपनी असलियत बता रही है,\n#किसान #बेरोजगारों की हितैषी न #बीजेपी है और न ही #कांग्रेस 😂🤔\n#गहलोत_सरकार_किसान_विरोधी\n#गहलोत_सरकार_किसान_विरोधी\n#72घंटे_का_क़र्फ्यू https://t.co/uPI5N98kOC',",positive
" 'पश्चिम बंगाल चुनाव में कोरोना की कहर, 3 TMC और 1 BJP समेत पांच उम्मीदवार संक्रमित  \n\n#bjp #coronavirus #trinamoolcongress #westbengalassemblyelection #westbengalelection #कोरोनावायरस #तृणमूलकांग्रेस #पश्चिमबंगालचुनाव #पश्चिमबंगालविधानसभाचुनाव #बीजेपी \n\nhttps://t.co/lWd5qbCYVJ',",negative
" '#बीजेपी और #आरएसएस ने हमेशा अपने फायदे के लिए  देश को नुकसान पहुंचाया है बेसिक महामारी (कोरोना)में चुनाव प्रचार और महाकुंभ का मेला!',",negative
" '#प्रधानमंत्री मौन?\n#गृहमंत्री मौन?\n#केंद्र_सरकार के मंत्री मौन?\n#बीजेपी राज्य सरकार के मुख्यमंत्री और उनके मंत्री मौन?\nलाशों के कुंभ में ये सब के सब राजनेतिक रोटी सेंकने में लगे हुए है।\n#देश_मोदीजी_के_साथ_है\n#WhereIsPM\n#Assemblyelections2021 \n#COVID19India \n#CoronaSecondWave',",positive
" '@yadavtejashwi आज पता चला कि बिहार का निकमा सरकार है #बीजेपी \nहटाओ देश बचाओ \n@NitishKumar  निकामा सरकार',",positive
" '#बीजेपी लखनऊ महानगर के पूर्व अध्यक्ष मनोहर सिंह के पुत्र संतोष सिंह ने CM योगी को पत्र लिखकर पीड़ा व्यक्त की !\nपूरा परिवार होम आइसोलेशन में। https://t.co/FBNXEbtVrK',",positive
" 'मनुवादियों ने #कांग्रेस बनाई,\n\nकांग्रेस ने #आरएसएस बनाई,\n\nआरएसएस ने #बीजेपी बनाई, \n\nअब पक्ष विपक्ष दोनों सगे भाई\n\nएक ने बाबरी खुलवाई, \n\nदूसरे ने बाबरी तोड़वाई,\n\nफिर शुरू हुई हिन्दू-मुस्लिम लड़ाई,\n\nसुन लो  ST, SC, OBC, MINORITY भाई\n\nएक तरफ कुँआ है दूसरी तरफ खाई।',",positive
" '@MukeshSharmaMLA सिर्फ और सिर्फ #बीजेपी को, \nलेकिन ये बात भी तय है, #कांग्रेस देश की सब। से घटिया पार्टी है, और ये मुल्लो की पार्टी है, जब तक #सोनिया_राहुल_प्रियंका रहेंगे, इस पार्टी का कोई साथ नहीं देगा',",negative
" '@Ajashutoshjha @TinaRoy92936164 @ManMundra करोड़ो स्वयं सेवकों के किये हुए या किये जा रहे सेवा श्रम को आप #बीजेपी से जोड़ें या न जोड़ें आपका विचार हो सकता है\nनेता तो हर पार्टी में है किंतु आपका सम्बोधन केवल एक दल ही रहा।\nइसका अर्थ ये हुआ कि आपको भी @BJP4India से ही सेवा भाव की आशा है।🙏🚩',",positive
" 'गुंडा , लुच्चा और आतंकवादियों की जमात तो #बीजेपी हैं और जगह तो नाममात्र है। और मेन आतंकवादी देश का प्रधानमंत्री और U.P का मुख्यमंत्री बन गया है। यही तो देश का दुर्भाग्य है की तुम जैसे लोग अपने मतलब और फायदे के लिए इन आतंकवादियों की चमचागिरी करते है । #देश_मोदीजी_के_साथ_है https://t.co/9KaqyNtzAv',",positive
" '#WhereIsPM #बीजेपी #BJP \nभाजपा के कार्यकर्ताओं\nअब दया करो, शर्म करो\nलोगों को गुमराह मत करो\nपूरा देश आपके पाप के कारण भुगत रहा है,\nलोगों के घर बर्बाद हो रहे हैं,\nआप मानवता पे कलंक हो,\nअब तो सुधर जाओ, वरना\nआने वाली पीढ़ी आपको माफ नहीं करेगी ।',",positive
" '#बीजेपी सरकार की सबसे पहले जिम्मेदारी थी २०२० फरवरी में WHO से #करोना खबर आते ही हवाई यात्रा बंद करे. BJP  AAP खुद चुनाव चुनाव खेलते रहे. मरकज तबलीगी तो अनजाने में हुआ.लेकिन कुंभ मेला का तो बीजेपी ने सब जानते हुए किया.महामारी के चलते और दुष्परिणाम जानते हुए किया. तब पापी कौन है?',",positive
" 'चाची को पता नहीं है कि #बीजेपी अकेले #चुनाव नही लड़ रहीं है, अनेक दल भी है वो भी रैलियां करते है। सिर्फ बीजेपी की रैली, कभी कुंभ मेले का फर्जी फ़ोटो । तेरी अल्लाह की नमाज का भी फ़ोटो दिखा दिया कर। झूठ की दूकान @Atul_Misra_ @sardanarohit @aajtak @AKTKadmin @narendramodi177 https://t.co/QTFCiUM2FG',",negative
" 'महाराणा प्रताप के ख़िलाफ़ आपत्तिजनक शब्दों का इस्तेमाल करने वाले #बीजेपी नेता प्रतिपक्ष का पुतला फूंका \nMidia coverage\n@INCIndia @Drvivekkatara https://t.co/dSkwo5MGv8',",negative
" '@srinivasiyc @abhisar_sharma है कोई #बीजेपी का नेता इस तरह के ट्विट कर रहा है । किस बिल में घुसे हैं सब के सब ?\n#पूछता_है_भारत',",positive
" '@aajtak धन्यवाद...जैसा की आप हमेंशा करते आये हो आगे भी करते रहोगे #बीजेपी का विरोध पर ऐसा करते वक़्त आप अपना पत्रकारिता धर्म (निष्पक्षता) सहूलियत से भुल जाते हो,ये 👇फ़र्ज़ीवाडा दिखाना क्या धर्म नहीं आपका दलित के लिये रिज़र्व सीट से २० साल पहले ब्याहीं और कन्वर्ट शशि पंचायत चुनाव में. https://t.co/brrRx2SN1q',",negative
" 'सुजानगढ़ उपचुनाव\n अगर हम जीते तो.\n#रालोपा\n1.सुजानगढ़ में ट्रॉमा सेंटर.\n2. सिंचाई एवं पीने के लिए पानी.\n#कांग्रेस\n हम जीते तो पटवारी और ग्रामसेवक काम करेंगे नहीं तो नहीं करेंगे।\n#बीजेपी \nअब हमारी बारी है।\n@RLPINDIAorg\n@INCRajasthan \n@BJP4Rajasthan \nसुजानगढ़ की जनता को तय करना है👍 https://t.co/JEDuvCqIRN',",positive
" 'जब एक #पत्रकार ने पूछा की क्या #चुनाव_आयोग  #बीजेपी के कहने पर काम कर रही है तो क्या कहा @RakeshTikaitBKU ji ने खुद सुनिए https://t.co/Co8i3B3J9e',",positive
" 'RSS: अब कश्मीरी पंडितों को उनकी घरवापसी करवाना हमारी प्राथमिकता है,\nबस इसी बयान के बाद मुफ़्ती महबूबा और अब्दुल्ला परिवार के पेट में मरोड़ शुरू हो चुका है...!!!👈😉\nहर एक बीमारी का इलाज बस आपका एक #वोट #बीजेपी #मोदी जी 👈\n#देश_मोदीजी_के_साथ_है\n🇮🇳🚩🇮🇳\n\n###विष 😌😌😌🙋',",positive
" '#भाजपा विधायक #नंदकिशोर_गुर्जर को #गाजीपुर बॉर्डर पर किसानों ने #नंगा करके कुटाई की\n\n#बीजेपी वालों सब का नंबर आएगा तैयार रहना\n\n#Kisan_Da_Haq_Ethe_Rakh #KisanEktaJindabad #FarmersProtest \n@OfficialBKU @IndianFarmers_ @BKU_Charhuni @RakeshTikaitBKU @NareshTikait @GurnamsinghBku https://t.co/5P2mEyXooy',",positive
" '#शहडोल #shahdol #बीजेपी #BJP\n माननीय मुख्यमंत्री जी जवाब दें क्या केवल दुकानदार करोना बेचता वा फैलाता है❓🤔\n@ChouhanShivraj  @CMMadhyaPradesh @narendramodi @JansamparkMP @AimraIndia @CAITIndia @dmshahdol @commissionerSdl @shahdol_police @JdshahdolC https://t.co/Hv9wjJP8ds https://t.co/teuixW0LPF',",positive
" 'वादा तो राम मंदिर का था \nअस्पताल और वेल्टिनेटर मांग कर  सर्मिंदा ना करें   \n#बीजेपी \n#कॉरोना',",positive
" 'वक्त कितना भी बुरा क्यों ना हो आपको मदद करने से नहीं रोक सकता @SonuSood \nवक्त कितना भी अच्छा क्यों ना हो हम आपका नुकसान जरूर करेंगे #बीजेपी',",positive
" '@MahantBalaknath @vashisth_manoj आप मोदी के साथ रहिए, क्युकी आप को भी #राजनेता बनना है और टिकट चाहिए,\n#मोदी ने देश के लोगो को #जात में लड़ाने की कोसिस की है,जिसकी सजा तो जनता अब पूरे #बीजेपी को देगी, #मोदी का नाम अब #ठंडा पड़ने लगा है,मोदी का समय अब खत्म होने वाला है, अब देश के लोगो को #तन_मन_धन की बात नही सुननी',",negative
" '@chitraaum चित्रा जी, #मीडिया एवं #आजतक का एजेंडा है कि #बंगाल में #बीजेपी की सरकार न बन पाए...\n\nये देश को गुमराह कर रहे हैं\n कोरोना पर ही कवरेज करना है, तो मुम्बई या दिल्ली में बुलेट जाकर चलाइये🙏',",positive
" '#राजसमंद से #बीजेपी उम्मीदवार दीप्ति किरण माहेश्वरी जी को आप अपना अमूल्य वोट देकर राष्ट्रहित में मतदान करे।\n@kiransnm \n@BJP4Rajasthan @bjp4rajsamand @DrSatishPoonia @KumariDiya https://t.co/C5KBdBu7oR',",positive
" '@RubikaLiyaquat और मंदिर, मस्जिद करो। साला कास कुछ मेडीकल बनवा दिया होता तो अभी स्थिति कुछ और होता। कोरोना बम #बीजेपी #कुंभ_मेला_कोरोना_फैला\n@narendramodi @myogiadityanath',",positive
" 'घबराने की नहीं है बात,सरकार खड़ी है साथ।\n       #बीजेपी🙏🙏\nदो गज की दूरी ,मास्क है जरूरी।।जिंदगी बहुत अनमोल है ..............इसलिए सतर्कता जरूरी है । #आइए_हम_सब_मिल_कर_कॉरोना_को_ हराए।#गुड_मॉर्निंग🙏🙏',",positive
" '@YashwantSinha कचड़े में फेंके गए कैलकुलेटर हिसाब के काम नहीं आते।\nचाहे कितनी भी कोशिश कर ले।\nठीक तुम्हारी तरह😂\nबस इतना ईमान बचा कर रखना अगर #बीजेपी जीत गई, तो #evm और #लोकतंत्र के नाम पर अपनी इज्जत नीलाम न करना।🤘 https://t.co/3TK0DNNGfy',",positive
" '#देश की बर्बादी में  जितना योगदान #बीजेपी सरकार का है ,\nउतना ही #देश की गोदी #मीडिया का है,,\nआज जो िस्थति बनी वह इन्ही दोनों की देन है ???',",positive
" 'मित्रों 💥 बिग न्युज 💥\nअभी अभी ताजा माहिती मिला है,\nचमचे 🥄🥄 हवा फैला रहे है कोरोना महामारी के इस दौर में परीक्षा बंद हो सकती है, चुनाव नहीं  ।\n\nतो क्यों नहीं चुनाव रुकवा कर सभी राज्यों में #बीजेपी को विजेता घोषित किया जाना चाहिए\n😍😍🥰\n\nजय श्री राम 🚩🚩',",positive
" '@BjpSanjayGupta @blsanthosh @ratnakar273 @narendramodi @KailashOnline @renu_bjp @HarishD_BJP @BJPNagendraji @JPNadda #राधे कृष्णा हरे हरे,#बीजेपी घरे घरे',",positive
" 'मध्य प्रदेश के मंत्री का विवादित बयान कोरोना से हुई मौतों को कोई रोक नही सकता जब मरने की उम्र हो जाती है तो मरना ही पड़ता है कोई रोक नही सकता ।"" सही बोले #बीजेपी के मंत्री #प्रेम_सिंह_पटेल जी ।फिर आप जैसे अनपढ़ ,जाहिल,गंवार विधायक मंत्री की भीकोई जरूरत नही लोग सब काम खुद कर लेंगे https://t.co/ILCLlwBuTN',",positive
" '@AimraIndia @nitin_gadkari @minmsme @narendramodi @dir_ed @PiyushGoyal @PiyushGoyalOffc @CimGOI @DIPPGOI @CCI_India @PrakashJavdekar @AmitShah @nsitharaman @ReutersIndia @CAITIndia जब वोट लेने की बारी आती है यो व्यापारी याद आते है और जब पॉलिसी बनाने की बात आती है तो ऑनलाइन वाले\n2019 के चुनाव में वोट लेने के लिए व्यापारियों के हाथ मे एक पालिसी का झुनझुना पकड़ा दिया गया था अब 2024 में फिर नया झुनझुना पकड़ा देंगे #बीजेपी बड़ा जुमला पार्टी',",negative
" '@khanumarfa ब्रिटिश साम्राज्यवाद की तरह #बीजेपी के लोग देश पर हुकूमत चाहते हैं, इसके लिए वो दिन रात एक किए हुए हैं, जब ऐसा होगा तो तानाशाही रवैया अपनाने की कोशिश होगी, जिसमें जनता तरबूज के तरह होता है कि चाकू गिरे तरबूज पर या तरबूज गिरे चाकू पर, कटना तो तरबूज को ही है!',",positive
" 'बेशर्मी की भी हद है।#बीजेपी सरकार',",positive
" '#बंगाल में पप्पू राहुल की पहली रैली में ही बीजेपी के लिए स्टार प्रचारक का धमाका🔥\n\n#बीजेपी और TMC गठबंधन हैं और दोनों मिले हुए हैं पप्पू राहुल का बयान🤣😄\n\n#ये नचनिया सोनिया का नालायक बेटा पप्पू राहुल देशद्रोही कांग्रेस को पूरी तरह डूबा देगा और सोच रहा हैं डुबो दूँ✍🤔😄',",negative
" '@TheAbhishek_IND बिल्कुल सही कहा आपने यही बात है #कांग्रेस को कोसते रहो अब कोन सी खीर खा रहे हो #बीजेपी मे बताओ',",positive
" 'आप सब को बताना भूल गया था। कि मंगलवार को हमारा ट्विटर परिवार  ने #गृहमंत्री श्री अमित शाह जी के साथ मीटिंग की । और सोचा की बंगाल की सभी सीटें #बीजेपी को चाहिए । \n\nतो फिर हम सबने सोचा कि अब बंगाल में बीजेपी  🌟 प्रचारक को बुलाया जाए । \n\nतो कल हम सब बीजेपी 🌟 प्रचारक से मिले । 🙏🙏 https://t.co/08eWMDWWLe',",positive
" '@narendramodi जी, आज 2 लाख प्रतिदिन #कोरोना केस के बावजूद #भारत की बंदी क्यों नही.?\n\nफिर पिछले वर्ष 2 हजार पर संपूर्ण #लॉकडाउन क्यों किया गया था.?\n\nक्या यह #बीजेपी सरकार की असफलता नही है.?\n@PMOIndia\n#कोरोना_हारेगा_जीतेगा_हिंदुस्तान',",positive
" '@narendramodi सबको पता है #बीजेपी को सिर्फ बंगाल चुनाव दिखती है जिसको जीतकर #सत्ता पर काबिज होना है । देश की जनता जिये या मरे , इससे #बीजेपी को क्या मतलब।',",positive
" 'महाराष्ट्र और छत्तीसगढ़ की भी स्थिति बदतर है।\n #कांग्रेस और #बीजेपी दोनों देश के नाम पर देश को धोखा देते हैं।\n#Boycottelection',",positive
" 'अब एक फिर #मोदी आए और कहे मित्रों ये मुसीबत का  सामना करना है तो पहले #बीजेपी वालो को बजाओ फिर आकर मुझे यानी मोदी को बजाओ और कॉरोना को भगाओ https://t.co/2f48S0ekDw',",positive
" '@RahulGandhi शुरू से ही #कोरोना के बारे में चेताते रहे हैं लेकिन #बीजेपी मज़ाक उड़ाती रही अब #कोरोना #बीजेपी का मजाक उड़ा रहा हैं 🤣🤣\n\n#मोदी_सरकार_ध्यान_दो #Covid #COVIDSecondWaveInIndia #CoronaCurfew #vaccinated #ModiLies #ModiGovtSeNaHoPayega #ModiFailsIndia #ModiMadeDisaster',",positive
" '#तृणमूल नेता #सुजाता मंडल खान के द्वारा #अनुसूचित जाति समुदाय के विरूद्ध अपमानजनक टिप्पणी करने पर बिहार #बीजेपी महानगर ने #राष्ट्रपति से की शिकायत...\n#बिहार_न्यूज #Bihar_News #BJP #TMC #President #DM #Patna\nhttps://t.co/UDE9oKoL9X',",negative
" '#कोरोना के कारण #पार्टी कार्यालयों में जड़ा ताला, पहले #आरजेडी, फिर #जेडीयू और अब #बीजेपी कार्यालय में बाहरी लोगों के प्रवेश पर लगी रोक....\n#बिहार_न्यूज #Bihar_News #BJP_Office #Corona\nhttps://t.co/ATzA4rxZQQ',",positive
" '@Samaachaar_r हमारे लिए कुछ बोलो जो हमारी सरकार जिला अधिकारी @DMOHaridwar हमारी समस्याओं पर कोई संज्ञान नहीं ले रहे हैं।आखिर क्यों???\nक्या यही इंसाफ है हमारे पीड़ित किसान परिवार के लिए।क्या उत्तराखंड सरकार #बीजेपी @TIRATHSRAWAT हमें पीड़ित देखकर खुश हैं।',",negative
" 'सुनिये, #बीजेपी के नमुने को....\nऐसे #बीजेपी मे नमुनों की भरमार है। https://t.co/qd9doPEC77',",positive
" '@RubikaLiyaquat *महामारी के 1 साल बाद भी दवाई नहीं मिल रही है,*\n*तो डॉक्टर को गाली मत बको....*\n*अस्पताल में बेड नहीं मिल रहा है,*\n*तो डॉक्टर को मत मारो,*\n*डॉक्टर को वोट नहीं दिया था तुमने ...*\n\n*हम हॉस्पिटल के लिए लड़े ही कब थे ?*\n*हम तो #बीजेपी के लिए लड़े थे \n\n 🙏😷 *जो आज चुनाव में बिजी है..',",positive
" 'वायरस बुरी तरह फैल चुका है अभिवावकों से गुजारिश है कि मरने से पहले बच्चों की फीस जमा करा दें\n\n#प्राइवेट_स्कूल\n#बीजेपी #BJP #bangal_election\n#news #viralvideo \n#NarendraModi \n#AkhileshYadav',",positive
" '#EXCLUSIVE : #बीजेपी नेता ने वीडियो वायरल कर कहा- #असम के #बोडो_पीपुल्स_फ़्रंट के प्रत्याशियों को रेस्ट हाउस में ठहराया गया...\n#Exclusive #BJP #videoviral #politics #PoliticsLive #BodolandPeoplesFront @BJP4CGState @INCChhattisgarh @KedarKashyapBJP   \n\nhttps://t.co/9ePdjOBJXp',",positive
" 'मोदी जी के बारे में इतने बुरे विचार फिर भी #बीजेपी  सरकार में मंत्री ? @ShivrajSinghMP',",positive
" 'सब राजनीति हो रही है मिल कर एक बहुत बड़ा गेम प्लान ही रहा है सब राजनीति है #बीजेपी सरकार की ।।  कोरोनो जब चाइना से खत्म हो गया है तो अपने देश में क्यू खत्म होने के नाम क्यू नही ले रहा है । और ये cowin विक्सिन से लोग मार क्यू रहे है इस का जवाब पूछ ती है आम जनता ।',",positive
" '#बीजेपी सरकार मिल कर एक गेम प्लान कर रही है बच्चों का भविष्य को खराबा कर रही है । जब #कोरोना की #विक्सन  बन गई है तो लोग की मौत क्यू हो रही है । और हमारे बच्चों के भविष्य के साथ खिलवाड़ क्यू हो रहा है प्रमोट कर के बच्चो के ज्ञान को खत्म किया जा रहा है ।',",positive
" 'ये #कोरोना विदेशी वायरस है इस लिए अच्छे #हॉस्पिटल और व्यवस्था मांग रहा है, बिकाऊ नेता होता #बीजेपी ने खरीद लिया होता। \n#KumbhMela2021 #Gujarat #BangalElection2021 #Mumbai #IPL #AmbedkarJayanti2021',",negative
